username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimiento;rango
cassetoo;2019-11-22 08:29;0;0;"Por favor Colombia despierte No apoyen al resentimiento de un terrorista como lo es Petro es uno de los canceres que tiene este pais loquedejaelparo ColombiaDespierta ParoNacional DesdeElParo";;@ petrogustavo;# Colombia# Petro# loquedejaelparo# ColombiaDespierta# ParoNacional# DesdeElParohttps;"1197869804113276930";https://twitter.com/cassetoo/status/1197869804113276930;Muy negativo;0.000417404003870391
RedMasNoticias;2019-11-22 08:29;2;3;"Video Regresa a la normalidad la situacion de orden publico en el centro de Bogota luego de las fuertes protestas que reportaron este jueves al finalizar la tarde en el ParoNacional Reporte desde la plaza de Bolivar con CacerolazoPara";;@ ChichoGiraldoRe@ GiovanniCelisS;# Video# Bogota# ParoNacional# CacerolazoParapic;"1197869698983112704";https://twitter.com/RedMasNoticias/status/1197869698983112704;Muy negativo;0.036940665696465785
CaracolRadio;2019-11-22 08:27;18;18;"ParoNacional Caos en la Autopista Sur Los manifestantes bloquean el acceso al barrio Villa del Rio";;;# ParoNacional;"1197869183746420740";https://twitter.com/CaracolRadio/status/1197869183746420740;Muy negativo;0.21659058407672346
CaracolRadio;2019-11-22 08:27;0;4;"ParoNacional En varios conjuntos residenciales y barrios de la ciudad los ciudadanos hicieron sonar sus ollas y utensilios domesticos";;;# ParoNacional;"1197869087407386624";https://twitter.com/CaracolRadio/status/1197869087407386624;Tendencia positiva;0.6039732667250948
IanSchnaida;2019-11-22 08:25;22;39;"Vimos agentes del Esmad patentado jovenes senoritas y ancianos Nos falto ver a agentes del Esmad pateando encapuchados y reprimiendo vandalos de verdad O es que los companeros infiltrados hay que respetarlos ParoNacional";;;# ParoNacional;"1197868817424273409";https://twitter.com/IanSchnaida/status/1197868817424273409;Muy negativo;0.007025015046285253
Erick_Nieves;2019-11-22 08:25;0;0;"Balance real del ParoNacional 1 Presidente quedo con tarjeta amarilla a trabajar 2 Pierde y todo lo que el representa terrorismo vandalos y destruccion 3 Lo mejor el Cacerolazo acto simbolico sin violencia q expreso mas que la misma marcha";;@ IvanDuque@ petrogustavo;# ParoNacional# Cacerolazo;"1197868723056627712";https://twitter.com/Erick_Nieves/status/1197868723056627712;Muy negativo;0.03356352545790438
CaracolRadio;2019-11-22 08:25;8;10;"ParoNacional Esta es la situacion que se presenta en el Tintal Bloqueos y presencia del Esmad en este momento";;;# ParoNacional;"1197868649324974080";https://twitter.com/CaracolRadio/status/1197868649324974080;Muy negativo;0.015629718480937013
Erick_Nieves;2019-11-22 08:24;0;0;"Balance real del ParoNacional 1 Presidente quedo con tarjeta amarilla a trabajar 2 Pierde y todo lo que el representa terrorismo vandalos y destruccion 3 Lo mejor el Cacerolazo acto simbolico sin violencia q expreso mas que la misma marcha";;@ IvanDuque@ petrogustavo;# ParoNacional# Cacerolazo;"1197868453576814594";https://twitter.com/Erick_Nieves/status/1197868453576814594;Muy negativo;0.03356352545790438
JaneADHD;2019-11-22 08:23;0;0;"Hoy viene un segundo cacerolazo Y estamos listos para seguir pidiendo un cambio CUENTAS CON NOSOTROS cacerolazo ParoNacionalColombia ParoNacional";;@ entoptica;# cacerolazo# ParoNacionalColombia# ParoNacional;"1197868195673235456";https://twitter.com/JaneADHD/status/1197868195673235456;Muy negativo;0.003919747307034995
Erick_Nieves;2019-11-22 08:23;2;3;"Balance real del ParoNacional 1 Presidente quedo con tarjeta amarilla a trabajar 2 Pierde y todo lo que el representa terrorismo vandalos y destruccion 3 Lo mejor el Cacerolazo acto simbolico sin violencia q expreso mas que la misma marcha";;@ IvanDuque@ petrogustavo;# ParoNacional# Cacerolazo;"1197868096301744130";https://twitter.com/Erick_Nieves/status/1197868096301744130;Muy negativo;0.03356352545790438
sonataopso;2019-11-22 08:21;0;7;"Hola Que hace Apropiandose del paro nacional o que hace";;;;"1197867803073826817";https://twitter.com/sonataopso/status/1197867803073826817;Tendencia negativa;0.3465856239266391
RedMasNoticias;2019-11-22 08:20;3;4;"Video Luego de los disturbios que se presentaron este jueves en la noche en Facatativa durante el ParoNacional asi quedaron las oficinas de la Alcaldia Municipal CacerolazoPara";;@ GiovanniCelisS;# Video# Facatativa# ParoNacional# CacerolazoParapic;"1197867560630439937";https://twitter.com/RedMasNoticias/status/1197867560630439937;Muy negativo;0.0973669936477404
WRadioColombia;2019-11-22 08:20;0;4;"LoQueDejaElParo Ministro de Defensa entrego balance de los hechos que rodearon el paro nacional";;;# LoQueDejaElParo;"1197867347652096002";https://twitter.com/WRadioColombia/status/1197867347652096002;Tendencia negativa;0.4734358579797688
VctorJavierVas1;2019-11-22 08:17;0;0;"BBC News Mundo Paro nacional en Colombia 4 motivos detras de las multitudinarias protestas y cacerolazos en Colombia contra el gobierno de Ivan Duque";;;;"1197866791864811524";https://twitter.com/VctorJavierVas1/status/1197866791864811524;Tendencia negativa;0.35155368607875526
CaracolRadio;2019-11-22 08:17;4;23;"ParoNacional El baile y los canticos fueron el factor denominador de las movilizaciones que partieron de cuatro puntos en el area metropolitana";;;# ParoNacional;"1197866607483207685";https://twitter.com/CaracolRadio/status/1197866607483207685;Muy negativo;0.16560262619252133
havanscamila;2019-11-22 08:17;0;1;"Mi alcaldesa electa por lo menos salio a marchar y a apoyar el paro que hizo el presidente electo Reprimir a la gente no habla sobre los atentados en Cali sobre los atentados contra los estudiantes de la u nacional ni mierda";;;;"1197866587770032128";https://twitter.com/havanscamila/status/1197866587770032128;Muy negativo;0.010934679240778754
Erick_Nieves;2019-11-22 08:16;0;0;"Balance real del ParoNacional 1 Presidente quedo con tarjeta amarilla a trabajar 2 Pierde y todo lo que el representa terrorismo vandalos y destruccion 3 Lo mejor el Cacerolazo acto simbolico sin violencia que expreso mas que la misma marcha";;@ IvanDuque@ petrogustavo;# ParoNacional# Cacerolazo;"1197866500465532929";https://twitter.com/Erick_Nieves/status/1197866500465532929;Muy negativo;0.03356352545790438
geaymar;2019-11-22 08:15;0;3;"Que ocurre hoy un dia despues del paro El bogotano que recorra a diario las estaciones de Transmilenio comprendera lo que ocurre hoy en Bogota Transmilenio ParoNacional Inconformismo";;;# Transmilenio# ParoNacional# Inconformismo;"1197866197934649345";https://twitter.com/geaymar/status/1197866197934649345;Muy negativo;0.005111564563595687
lrubianofajardo;2019-11-22 08:14;0;0;"Masivo cacerolazo respaldo el Paro Nacional y rechazo violencia y represion";;;;"1197866012055670784";https://twitter.com/lrubianofajardo/status/1197866012055670784;Muy negativo;0.016094181535151256
CaracolRadio;2019-11-22 08:14;2;8;"ParoNacional Para tener en cuenta pide paciencia a los usuarios";;@ TransMilenio;# ParoNacional;"1197865932066099200";https://twitter.com/CaracolRadio/status/1197865932066099200;Muy negativo;0.05361626295498995
lrubianofajardo;2019-11-22 08:12;0;0;"Fotos Asi amanecio Suba tras los disturbios registrados al finalizar el paro nacional";;;;"1197865467848908800";https://twitter.com/lrubianofajardo/status/1197865467848908800;Tendencia negativa;0.36124536090346254
coacreativo;2019-11-22 08:12;0;0;"No se yo paro paronacional hp";;;# paro# paronacional# hppic;"1197865444650233857";https://twitter.com/coacreativo/status/1197865444650233857;Muy negativo;0.011075443261120282
NoticiasCaracol;2019-11-22 08:10;4;40;"LoQueDejaElParo Con olla en mano y en paz asi fue el cacerolazo con el que se finalizo la jornada de paro nacional";;;# LoQueDejaElParo;"1197864808596377600";https://twitter.com/NoticiasCaracol/status/1197864808596377600;Muy negativo;0.10857496209772843
paulavega27;2019-11-22 08:09;0;0;"Que canto la gente que marcho el 21N en el paro nacional";;;;"1197864766255091712";https://twitter.com/paulavega27/status/1197864766255091712;Tendencia negativa;0.3941235308706688
saraveleztorre1;2019-11-22 08:09;1;1;"Que quede claro la marcha y el paro nacional no tiene que ver con lo sucedido en la noche amanecer de ayer en la ciudad de Cali Cali ElParoSigue ColombiaDespierta";;;# Cali# ElParoSigue# ColombiaDespierta;"1197864642304978949";https://twitter.com/saraveleztorre1/status/1197864642304978949;Tendencia negativa;0.2997612994360494
laniakea2050;2019-11-22 08:08;0;0;"LoQueDejaElParo El SuperCade de Suba sufrio saqueos y atentados contra sus instalaciones al finalizar el paro nacional";;;# LoQueDejaElParo;"1197864533240549376";https://twitter.com/laniakea2050/status/1197864533240549376;Muy negativo;0.08412493215321559
pealejo;2019-11-22 08:08;0;0;"LE DIO CAGADERA A SERGIO FAJARDO JAJAAJ COMO NO HABIA BALLENAS PARA VER SE INVENTO UNA DIARREA POLITICA PARA NO AFECTAR A SU PATRON URIBE VELEZ Y NO PARTICIPAR EN EL PARO NACIONAL ESE ES EL TIBIO QUE PIENSA Q EL PUEBLO LO VA A SEGUIR YA SERGIO FAJARDO ESTA QUEMADO";;;;"1197864428064169987";https://twitter.com/pealejo/status/1197864428064169987;Neutral;0.0
RipollK_;2019-11-22 08:07;0;0;"ParoNacional Hoy barranquilla manifiestate no todos los problemas de la ciudad se solucionan con concreto";;;# ParoNacional;"1197864272535130112";https://twitter.com/RipollK_/status/1197864272535130112;Muy negativo;0.18691558554289506
NoticiasTunja;2019-11-22 08:06;0;0;"Paro Nacional afecto 5 de la operacion aerea nacional MinTransporte colombia noticiastunja noticias noticiastunja actualidad";;;# colombia# noticiastunja# noticias# noticiastunja# actualidad;"1197864049976983557";https://twitter.com/NoticiasTunja/status/1197864049976983557;Muy negativo;0.2132895980887873
juliandresval;2019-11-22 08:06;1;1;"ColombiaDespierta RenuncieDuque CalienCaos CaliCo 21N 22N ParoNacional21N Paro21Noviembre ParoNacional";;;# ColombiaDespierta# RenuncieDuque# CalienCaos# CaliCo# 21N# 22N# ParoNacional21N# Paro21Noviembre# ParoNacional;"1197863932368769024";https://twitter.com/juliandresval/status/1197863932368769024;Muy negativo;0.042332855567968765
para_cristo;2019-11-22 08:05;0;0;"El problema es que el verdadero plan de Petro y los demas organizadores del mal llamado paro nacional se esta llevando a cabo a la perfeccion lo de ellos no era la paz sino la Guerra";;;;"1197863766639157255";https://twitter.com/para_cristo/status/1197863766639157255;Muy negativo;0.04663698930208179
Edss07;2019-11-22 08:04;0;0;"No a la destruccion si al bloqueo El paro debe seguir ParoNacional";;;# ParoNacional;"1197863365663703041";https://twitter.com/Edss07/status/1197863365663703041;Muy negativo;0.00514928762751164
CAHIGAR;2019-11-22 08:03;1;2;"Mi palmira fue orgullo nacional en medio de este paro Terminamos un dia de marcha en completa paz Asi se debe hacer no se trata de guerra si no de union el vandalimo destruye y el pueblo entendido construye Un pais mejor no se logra destruyendo lo que ya tenemos";;;;"1197863202039762945";https://twitter.com/CAHIGAR/status/1197863202039762945;Muy positivo;0.7299178050962993
Vanessa26116846;2019-11-22 08:03;1;1;"La gente esta cansada Viva el Paro Nacional ParoNacional NoDijoNada ElParoSigue ColombiaDespierta";;;# ParoNacional# NoDijoNada# ElParoSigue# ColombiaDespiertapic;"1197863191574974464";https://twitter.com/Vanessa26116846/status/1197863191574974464;Muy negativo;0.01168448404432919
milefg;2019-11-22 08:02;0;0;"Los vienes materiales se recuperan y reemplazan La vida no Los danos causados en la marcha no se comparan con el dano que el gobierno le esta haciendo al pais 21NParoNacional ParoNacional";;;# 21NParoNacional# ParoNacional;"1197862839861567493";https://twitter.com/milefg/status/1197862839861567493;Muy negativo;0.055266689859003
pealejo;2019-11-22 08:01;0;0;"LOS NARCOTRAFICANTES PARAMILITARES TERRORISTAS DEL GRUPO DELINCUENCIAL DEL CENTRO DEMOCRATICO QUIEREN DESLIGITIMAR EL PARO NACIONAL X ESO CREARON UN COMITE PARA DESPRESTIGIAR Y MENTIR SOBRE LA PROTESTA QUE FUE UN EXITO TOTAL CONTRA EL NARCO ESTADO";;;;"1197862699415277568";https://twitter.com/pealejo/status/1197862699415277568;Neutral;0.0
EdoHerreraB;2019-11-22 08:00;1;1;"Una reflexion objetiva y tranquila del paro nacional es el camino no ahondar mas las diferencias y una polarizacion inutil Es hora de respuestas prontas y efectivas que demandan sectores de la sociedad Repudio y rechazo a los violentos";;;;"1197862352928083968";https://twitter.com/EdoHerreraB/status/1197862352928083968;Muy negativo;0.08581921646313206
GioovanyM;2019-11-22 08:00;0;3;"Yo viendo en el ParoNacional ElParoSigue";;@ Citytv;# ParoNacional# ElParoSiguepic;"1197862330949885952";https://twitter.com/GioovanyM/status/1197862330949885952;Muy negativo;0.03987002549565705
edwavarh;2019-11-22 07:59;2;1;"ElParoSigue ParoNacional DuqueChao DuqueRenuncie ColombiaDespierta citytv";;;# ElParoSigue# ParoNacional# DuqueChao# DuqueRenuncie# ColombiaDespierta# citytvpic;"1197862195549343745";https://twitter.com/edwavarh/status/1197862195549343745;Muy negativo;0.01868268345834801
LauraMadrigal_;2019-11-22 07:57;0;1;"No hay que dejar que los pocos vandalos que hicieron los danos en Colombia opaquen la legitimidad del paro nacional ElDiaDespues Los que lo hicieron bien son muchos mas";;;# ElDiaDespues;"1197861745869635584";https://twitter.com/LauraMadrigal_/status/1197861745869635584;Tendencia negativa;0.30006139736687243
pealejo;2019-11-22 07:57;0;0;"LOS VANDALOS FUERON LOS MISMOS QUE LLEVARON A LA FRONTERA CON VENEZUELA JOSE OBDULIO GAVIRIA IVAN DUQUE URIBE VELEZ ESTOS VANDALOS SON MIEMBROS DE DE GRUPOS PARAMILITARES Y BANDAS CRIMINALES APOYADAS X LA ULTRADERECHA PARA DESLIGITIMAR EL PARO NACIONAL CONTRA EL NARCO ESTADO";;;;"1197861698251710464";https://twitter.com/pealejo/status/1197861698251710464;Neutral;0.0
ElPregonar;2019-11-22 07:55;5;16;"BOGOTA Asi amanecio la estacion Policarpa del Sistema tras la jornada del ParoNacional delnpasado jueves 21 de noviembre";;@ Transmilenio;# BOGOTA# ParoNacional;"1197861213285302272";https://twitter.com/ElPregonar/status/1197861213285302272;Muy negativo;0.1468745230518958
martnin007;2019-11-22 07:55;1;1;"BBC News Mundo Paro nacional en Colombia 4 motivos detras de las multitudinarias protestas y cacerolazos en Colombia contra el gobierno de Ivan Duque";;;;"1197861040794542081";https://twitter.com/martnin007/status/1197861040794542081;Tendencia negativa;0.35155368607875526
LauraMadrigal_;2019-11-22 07:54;0;1;"El Ministro de Defensa Carlos Mario Trujillo felicita a los Colombianos en rueda de prensa LaFM pues la gran mayoria del pais concluyo la jordanada de paro nacional en la hora pactada de manera pacifica y sin ningun altercado N21";;;# N21;"1197860787634819075";https://twitter.com/LauraMadrigal_/status/1197860787634819075;Tendencia negativa;0.2787645046786689
CaracolRadio;2019-11-22 07:53;13;25;"ParoNacional La medida regira desde hoy al mediodia hasta el mediodia de manana sabado en Bogota";;;# ParoNacional;"1197860744206917638";https://twitter.com/CaracolRadio/status/1197860744206917638;Tendencia negativa;0.3079246320806907
_MCaprichos;2019-11-22 07:50;3;7;"Que bueno ver esos videos de los heroes de la patria reaccionando ante terroristas que salieron al paro Tan valientes en manada dando golpisas a personas solas y desarmadas hasta dejarlas inconscientes verlos danando fachadas infiltrados en marchas Grande Policia Nacional";;;;"1197859958110470145";https://twitter.com/_MCaprichos/status/1197859958110470145;Muy negativo;0.13873564205422598
DanielaSotoM;2019-11-22 07:50;0;2;"El cacelorazo de anoche nos confirma que estamos mas unidos que nunca por nuestro pais y su bienestar Sera que el presidente no siente nada con TANTO rechazo ante su gobierno ColombiaDespierta ParoNacional";;@ IvanDuque;# cacelorazo# ColombiaDespierta# ParoNacional;"1197859811070795776";https://twitter.com/DanielaSotoM/status/1197859811070795776;Muy negativo;0.042627754073010796
NoticiasRCN;2019-11-22 07:48;28;26;"AmanecerRCN 148 militares 122 civiles y tres policias resultaron heridos durante la jornada del ParoNacional Carlos Holmes Trujillo ministro de Defensa";;;# AmanecerRCN# ParoNacional;"1197859475341881344";https://twitter.com/NoticiasRCN/status/1197859475341881344;Muy negativo;0.04627531220931955
AndresFelipe;2019-11-22 07:48;26;34;"Si los Calenos no hubieran estado armados ayer los vandalos del paro nacional acaban con ellos Necesitamos el porte legal de armas ya";;;;"1197859344609611776";https://twitter.com/AndresFelipe/status/1197859344609611776;Muy negativo;0.007642555021262607
CaracolRadio;2019-11-22 07:48;27;35;"ParoNacional Video Las imagenes fueron compartidas en redes sociales causando total rechazo por parte de los internautas";;;# ParoNacional;"1197859322560221189";https://twitter.com/CaracolRadio/status/1197859322560221189;Muy negativo;0.045194372293091964
lourdesedilknne;2019-11-22 07:47;1;2;"Reportan que este momento la policia esta atacando a la poblacion civil que se manifestaba politicamente en el portal Americas estado ataca el ParoNacional";;@ CIDH@ IvanCepedaCast@ AidaAvellaE;# ParoNacional;"1197859212950491136";https://twitter.com/lourdesedilknne/status/1197859212950491136;Muy negativo;0.003954558109031665
HernandoDelaRos;2019-11-22 07:47;1;6;"Cristina tambien refierase a esto Los mensajes de un paro nacional que fue mayoritariamente pacifico via";;@ ELTIEMPO;;"1197859169241567232";https://twitter.com/HernandoDelaRos/status/1197859169241567232;Tendencia positiva;0.5984150706698508
CaracolRadio;2019-11-22 07:47;20;38;"ParoNacional Video El hecho se presento en la capital del pais durante la jornada de protestas";;;# ParoNacional;"1197859151990398976";https://twitter.com/CaracolRadio/status/1197859151990398976;Muy negativo;0.12708527945767312
ISAPEMO;2019-11-22 07:47;0;0;"Asi reacciono la ciudanania al ver dos policias infiltrados en el paro nacional";;;;"1197859067861118977";https://twitter.com/ISAPEMO/status/1197859067861118977;Muy negativo;0.13867440481042967
CaracolRadio;2019-11-22 07:46;3;3;"ParoNacional Las mayores afectaciones se registraron en Cali en donde el alcalde Maurice Armitage decreto el toque de queda";;;# ParoNacional;"1197858998596317185";https://twitter.com/CaracolRadio/status/1197858998596317185;Muy negativo;0.00792345240992464
HernandoDelaRos;2019-11-22 07:46;0;0;"Titular de Los mensajes de un paro nacional que fue mayoritariamente pacifico";;@ ELTIEMPO;;"1197858917881126913";https://twitter.com/HernandoDelaRos/status/1197858917881126913;Muy positivo;0.810157072727346
CaracolRadio;2019-11-22 07:45;8;15;"ParoNacional Una noche tensa y critica vivieron los calenos por los desmanes presentados en la ciudad";;;# ParoNacional;"1197858765426610180";https://twitter.com/CaracolRadio/status/1197858765426610180;Muy negativo;0.020464389554450603
CaracolRadio;2019-11-22 07:45;7;19;"ParoNacional Gran ejemplo agradecio el gesto de los manifestantes en medio de las protestas";;@ TransMilenio;# ParoNacional;"1197858589941157890";https://twitter.com/CaracolRadio/status/1197858589941157890;Tendencia negativa;0.37113854170185034
loremaac;2019-11-22 07:45;0;0;"Buenos dias No desviemos el proposito de la marcha Ahora empieza la protesta por las redes sociales ParoNacional ElParoApenasComienza ElParoSigue ColombiaDespierta ElParoTieneQueSeguir";;;# ParoNacional# ElParoApenasComienza# ElParoSigue# ColombiaDespierta# ElParoTieneQueSeguir;"1197858581057589250";https://twitter.com/loremaac/status/1197858581057589250;Muy negativo;0.032341651517918624
RevistaSemana;2019-11-22 07:45;10;30;"ATENCION El alcalde saliente de Bogota dio un balance sobre los danos que sufrio la capital durante el paro nacional La ley seca se extendera hasta el mediodia del sabado";;@ EnriquePenalosa;# ATENCION;"1197858526519058433";https://twitter.com/RevistaSemana/status/1197858526519058433;Tendencia negativa;0.4322461714082944
CaracolRadio;2019-11-22 07:44;7;17;"ParoNacional Muchos fueron los actos significativos que se vivieron en el pais";;;# ParoNacional;"1197858378392973312";https://twitter.com/CaracolRadio/status/1197858378392973312;Muy negativo;0.1218732886449399
CaracolRadio;2019-11-22 07:43;13;13;"ParoNacional Los danos representan miles de millones de pesos";;;# ParoNacional;"1197858148914208770";https://twitter.com/CaracolRadio/status/1197858148914208770;Muy negativo;0.02001414620996059
CaracolRadio;2019-11-22 07:42;13;26;"ParoNacional Habitantes de Soacha han tenido que caminar para poder llegar a su destino Estaciones de estan destruidas";;@ TransMilenio;# ParoNacional;"1197857790469058560";https://twitter.com/CaracolRadio/status/1197857790469058560;Tendencia negativa;0.4207434520773953
Col_Informa;2019-11-22 07:41;12;10;"ElParoApenasComienza El segundo dia del ParoNacional inicia con protestas en distintos lugares de Bogota como la Autopista Sur donde las personas manifestantes bloquean Transmilenio";;;# ElParoApenasComienza# ParoNacional;"1197857680876019717";https://twitter.com/Col_Informa/status/1197857680876019717;Muy negativo;0.09523272322327665
Pandorcita2019;2019-11-22 07:41;0;0;"Que triste y vergonzoso ver hoy el territorio nacional con los danos causados por lo vandalos que perfectamente saben que cada vez que se convoca a Paro cumplen con su cometido de destruir";;@ CarlosFGalan@ IvanDuque@ mluciaramirez@ CancinoAbog@ VickyDavilaH@ HassNassar;;"1197857510448910336";https://twitter.com/Pandorcita2019/status/1197857510448910336;Muy negativo;0.019560714951794976
CaracolRadio;2019-11-22 07:40;2;8;"ParoNacional Las movilizaciones transcurrieron en total calma en la ciudad de Neiva";;;# ParoNacional;"1197857273789460482";https://twitter.com/CaracolRadio/status/1197857273789460482;Muy negativo;0.14425297885867228
elisamunozcruz;2019-11-22 07:39;0;0;"Fusagasuga fue ejemplo de civismo en paro nacional";;;;"1197857098614349824";https://twitter.com/elisamunozcruz/status/1197857098614349824;Muy negativo;0.24106944231675026
DaniSoloFoot;2019-11-22 07:38;0;0;"Fue porque ayer hubo paro Nacional como protesta por la mala gestion del gobierno actual marchas donde evidentemente muestra que la gente no esta para nada contenta fue solo ayer hoy ya volvio todo a la normalidad";;;;"1197856922810142721";https://twitter.com/DaniSoloFoot/status/1197856922810142721;Muy negativo;0.017842102946989975
epmcund;2019-11-22 07:38;0;0;"Vandalos atacan la Alcaldia de Bogota y cometen otros actos violentos durante el paro nacional";;;;"1197856917978255361";https://twitter.com/epmcund/status/1197856917978255361;Muy negativo;0.02796747298378772
rueda_suelta;2019-11-22 07:38;0;0;"En Argentina nos sumamos al ParoNacional en contra del Paquetazo de Duque Colombianos y argentinos solidarios se manifiestan en Buenos Aires porque ElParoApenasComienza";;;# ParoNacional# ElParoApenasComienzapic;"1197856903826722818";https://twitter.com/rueda_suelta/status/1197856903826722818;Muy negativo;0.023306237898804007
Rote_Lowe;2019-11-22 07:38;0;0;"Minutos antes de la alocucion presidencial en donde se decia que la ciudadania debe ser escuchada estaba en entrevista la MinInterior deslegitimazando una vez mas las razones del ParoNacional";;;# ParoNacional;"1197856893500370944";https://twitter.com/Rote_Lowe/status/1197856893500370944;Muy negativo;0.08100740097508924
carguichurio;2019-11-22 07:38;0;0;"Debe tener un colapso mental ParoNacional Cacerolazo ElParoApenasComienza";;;# ParoNacional# Cacerolazo# ElParoApenasComienzahttps;"1197856798251868160";https://twitter.com/carguichurio/status/1197856798251868160;Muy negativo;0.004030313053808729
CaracolRadio;2019-11-22 07:38;6;11;"ParoNacional El funcionario publico senalo que no se previo que las llamadas a tomarse la ciudad a traves de redes sociales fueran reales";;;# ParoNacional;"1197856778714828803";https://twitter.com/CaracolRadio/status/1197856778714828803;Muy negativo;0.03173813274624648
kienyke;2019-11-22 07:37;1;2;"Kamara Increibles imagenes Estas fueron las fotografias mas impresionantes del Paro Nacional LoQueDejaElParo";;;# Kamara# LoQueDejaElParo;"1197856725669437442";https://twitter.com/kienyke/status/1197856725669437442;Muy positivo;0.8878343477328327
CaracolRadio;2019-11-22 07:37;3;17;"ParoNacional Mas de 9 000 personas se volcaron a las calles y con actos culturales elevaron sus voces de protesta";;;# ParoNacional;"1197856638100742144";https://twitter.com/CaracolRadio/status/1197856638100742144;Muy negativo;0.1863935479780032
EstefanyaVar;2019-11-22 07:37;2;2;"Claramente quienes realizaron los disturbios y saqueos no apoyaban el paro solo se aprovechaban de la situacion Tantas noticias que podian salir de este dia y los medios escogieron dar visibilidad a los vandalos ParoNacional";;;# ParoNacional;"1197856557956059136";https://twitter.com/EstefanyaVar/status/1197856557956059136;Muy negativo;0.007817006992516714
carguichurio;2019-11-22 07:36;0;0;"Porque no cuentan los leccionados por ellos en muchas ocacsiones personas inocentes ParoNacional";;;# ParoNacional;"1197856440641368065";https://twitter.com/carguichurio/status/1197856440641368065;Muy negativo;0.013119852082265402
saragontier;2019-11-22 07:36;0;1;"Nati es una de las artistas que apoyo el ParoNacional No le tuvo miedo al ESMAD";;;# ParoNacional# ESMADhttps;"1197856425281835014";https://twitter.com/saragontier/status/1197856425281835014;Muy negativo;0.07664525929825096
DavidARBSibate;2019-11-22 07:36;0;0;"La actitud de la ciudadania libre el dia de ayer en ParoNacional rechazando los actos vandalicos de unos cuantos y finalizando en Cacerolazo demuestran que la gran mayoria de los colombianos estamos conectados con la Paz CityNoticias";;@ petrogustavo@ Citytv@ GustavoBolivar;# ParoNacional# Cacerolazo# Paz# CityNoticias;"1197856355429896193";https://twitter.com/DavidARBSibate/status/1197856355429896193;Muy negativo;0.0033449710871493047
